,Job,Company,Work Location,Start Date,Duration,Stipend,Time,Internship Type
85,Video Editing,UpGrad (UpGrad Education Private Limited),Bangalore,Immediately,3 Months,"15,000 /month",1 week ago,Internship
86,Content Writing,Economic Times,Noida,Immediately,6 Months,"10,000 /month",1 week ago,Internship with job offer
87,Business Development (Sales),BYJU'S The Learning App,Mumbai,Immediately,2 Months,"18,000 /month",1 week ago,Internship
88,Conservation Outreach,WWF India,Delhi,Immediately,3 Months,"15,000 /month",1 week ago,Internship with job offer
89,Retail Sales & Operations,Chumbak Design Private Limited,"Gurgaon, Kolkata, Pune, Bangalore, Hyderabad, Mumbai",Immediately,2 Months,"8,000-12,000 /month",1 week ago,Internship
90,Event Management,Times Internet,Noida,Immediately,6 Months,"7,000 /month",1 week ago,Internship
91,Business Development Executive,BYJU'S The Learning App,Kalyan,Immediately,3 Months,"15,000 /month",1 week ago,Internship
92,Video Making/Editing,IIT Bombay,Work From Home,Immediately,6 Months,"3,000-6,000 /month",1 week ago,Internship
93,Policy Research,AAP Pune,Pune,Immediately,1 Month,Unpaid,1 week ago,Internship
94,Human Resources (HR),WWF-India,Mumbai,Immediately,3 Months,"7,000-10,000 /month",1 week ago,Internship
95,Human Resources (HR),Titan Company Limited,Bangalore,Immediately,2 Months,"10,000 /month",1 week ago,Internship
96,Human Resources (HR),Jindal Stainless,Gurgaon,Immediately,3 Months,"5,000 /month",1 week ago,Internship
97,Placement Management,NIIT Foundation,Delhi,Immediately,3 Months,"10,000 /month",1 week ago,Internship
98,Digital Marketing,Apollo Hospitals Enterprise Limited,Bangalore,Immediately,6 Months,"15,000 /month",1 week ago,Internship
99,Graphic Design,Archies Lifestyle,Delhi,Immediately,3 Months,"10,000-15,000 /month",1 week ago,Internship
